"ID","PopularFoodDislike","DressColor","Floaters","Animal","ChocolateOrVanilla","RightLeftHanded","RotaryPhone","ThermostatTemperature","NumberFrom1to100","MovieStar","CanRollTongue","CellPhoneType","FavoriteNumberFrom1to5","FavoriteTeam","GrossedOutByFoodAnswer","ThrowingOutSocks","OddEvenSection","SectionDay","Activity_Basketball","Activity_Ski","Activity_HorseRiding","Activity_StickShift","Activity_Rubiks","Activity_Unicycle","Activity_Stilts","Activity_Juggle","Activity_IceSkate","Tried_Snails","Tried_FrogLegs","Tried_Natto","Tried_Aligator","Tried_Durian","Tried_ThousandYearOldEgg","Dislike_Coffee","Dislike_Yogurt","Dislike_Cilantro","Dislike_Tomatoes","Dislike_CarbonatedDrinks","Dislike_Eggs","Dislike_ChocolateIceCream","Follow_Football","Follow_Soccer","Follow_Basketball","Follow_Baseball","Follow_Cricket"
"1687","Eggplant","Blue and black","Yes, occasionally","Pig","Chocolate","Right-handed","Not 100% sure","Cooler","52","Jennifer Aniston","Yes","iPhone","1","","Yes, most of them","No, but I'm totally doing that now","Odd","Tuesday","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0"
"4766","Steak","Blue and black","I'm not sure what things you mean","Zebra","Vanilla","Right-handed","Not 100% sure","Cooler","78","Tom Hanks","No","iPhone","5","Soccer","No","I did the throwing out thing, but didn't talk to everyone about it","Odd","Thursday","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"9599","Sweet Potatoes","White and gold","Yes, occasionally","Tiger","Chocolate","Ambidextrous","Yes, I believe so","Cooler","28","Denzel Washington","Yes","iPhone","5","Seleccion Nacional De Mexico","No","No","Odd","Tuesday","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0"
"6909","pickles","I don't remember","Yes, occasionally","panda","Chocolate","mostly right-handed, but left-handed with very specific things","Yes, I believe so","Warmer","24","Gong Yoo","No","","4","","No","No","Odd","Thursday","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0"
"7095","Sushi","Blue and black","No","cat","Vanilla","Right-handed","A what?","Cooler","50","Robert Downey Jr.","Yes","Android","2","","No","No","Even","Tuesday","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"6095","Chocolate","White and gold","I'm not sure what things you mean","Frog","Vanilla","Right-handed","Not 100% sure","Cooler","26","Chris Pratt","Yes","iPhone","4","","Yes, most of them","No","Odd","Tuesday","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"4907","Lobster","Blue and black","Yes, occasionally","Dog","Vanilla","Right-handed","Yes, I believe so","Warmer","99","Leo Dicaprio","Yes","iPhone","5","Green Bay Packers","Yes, most of them","No","Odd","Tuesday","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1"
"6161","Hot dogs ","White and gold","No","Bison","Chocolate","Right-handed","Yes, and I have","Cooler","42","John Wayne","Yes","iPhone","4","Dallas Cowboys","Yes, one or two","No, but I'm totally doing that now","Even","Tuesday","0","1","0","1","0","0","0","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","1","1","1","0","0"
"3919","meatballs","Blue and black","Yes, occasionally","Dog","Vanilla","Right-handed","Not 100% sure","Cooler","57","Tom Cruise","Yes","iPhone","2","Seahawks","Yes, one or two","No","Odd","Thursday","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0"
"7469","steak","Blue and black","Yes, occasionally","cow","Vanilla","Right-handed","Not 100% sure","Warmer","88","Daniel Craig","No","iPhone","5","","Yes, most of them","No, but I'm totally doing that now","Even","Thursday","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","1"
